sentiment,airline,negative_reason,text
0,virginamerica,Customer Service Issue,normal receive reply central baggage
0,virginamerica,longlines,logan airport waiting checkin flight checkin desk open
0,united,Can't Tell,congrats business fuck fl1289 clincher
0,virginamerica,Customer Service Issue,applied weeks haven heard flying week
4,virginamerica,,follow
0,virginamerica,Customer Service Issue,apologies worse airlines respond cudtomers
0,virginamerica,Cancelled Flight,shame making people spend money stranded cities airlines landing will reimburse
0,virginamerica,Customer Service Issue,takes days confirmation email inquired weeks claim weeks
0,virginamerica,Cancelled Flight,flight tomorrow cancelled flightled notification wait times hour will rebook airline
4,virginamerica,,youâ match status airline upgrade restr
4,virginamerica,,
0,virginamerica,Can't Tell,apologies thrown customers worst airline
0,virginamerica,Flight Attendant Complaints,flight stuff wrong
4,virginamerica,,will match status cool
0,virginamerica,Flight Booking Problems,book flight guys website lose business
0,virginamerica,Can't Tell,suck
4,virginamerica,,
0,virginamerica,Flight Booking Problems,issue persisting
0,virginamerica,Cancelled Flight,cancelled flightlation notice left options driving kids
0,virginamerica,Flight Booking Problems,book flight site
0,virginamerica,Cancelled Flight,flights flying boston tomorrow cancelled flightled flight didn
0,virginamerica,Cancelled Flight,stink flight cancelled flighted notification ability rebook better
4,virginamerica,,love song dancing high school dance revue
0,virginamerica,Customer Service Issue,website check
4,virginamerica,,quick response faster sitting hold
4,virginamerica,,cool picture virginamerica plane wing site
4,virginamerica,,great work
4,virginamerica,,goodness people field amazing pressure texas crisis
4,virginamerica,,great flight boston pilots great landing snow
4,virginamerica,,awesome support guys rock
0,virginamerica,Bad Flight,seats recline mention website
0,virginamerica,Late Flight,flight delayed hours mechanical problems handle pros tossed free drink
0,virginamerica,Cancelled Flight,cancelled flight flights today precipitation scared
4,virginamerica,,twitter team guys killed rescheduling asap
0,virginamerica,Cancelled Flight,guys charged reschedule flight cancelled flighted refusing refund deal
0,virginamerica,Customer Service Issue,canâ access website safari iphone work ipad iphone passbook
0,virginamerica,Customer Service Issue,mobile site broken header elevateuser numofpointsavailable number points checkin
0,virginamerica,Cancelled Flight,forward flight will rescheduled
0,virginamerica,Cancelled Flight,cancelled flight flight vx413 delayed airport cancelled flightled gonna email call reschedule
0,virginamerica,Customer Service Issue,problem link email checkin
0,united,Flight Booking Problems,change airline today land cost
0,virginamerica,Cancelled Flight,forward flight today cancelled flightled subsequent
4,virginamerica,,putting great deals love
4,virginamerica,,afford friday going love airline
0,virginamerica,Can't Tell,gonna deal dallas deal dallas
0,virginamerica,Customer Service Issue,hold times call center
4,virginamerica,,
0,virginamerica,Flight Booking Problems,site
4,virginamerica,,best flight attendant
4,virginamerica,,awesome watch nominated films feet
4,virginamerica,,
0,virginamerica,Customer Service Issue,reset password email arrives help
4,virginamerica,,airline based silicon valley
4,virginamerica,,nicely
4,virginamerica,,forward watching oscars flight tomorrow bubbly drink
0,virginamerica,Late Flight,reason delay departure afternoon
0,virginamerica,Cancelled Flight,todays flight palm springs cancelled flightled
4,virginamerica,,hahaha guys amazing love guys
4,virginamerica,,sounds
0,virginamerica,Customer Service Issue,site site unusable
0,virginamerica,Lost Luggage,flight vegas boston today checked online count didn register
4,virginamerica,,classiq virgin america greetingz
0,virginamerica,Customer Service Issue,checkin website working browsers problem continues
4,virginamerica,,great customer service today helping travel sorted
4,virginamerica,,guys sweet route rockies
4,virginamerica,,love music blasting gate waiting flight iced coffee
0,virginamerica,Bad Flight,passenger assaulted shouldn flown trust banned crew filed report
0,virginamerica,Flight Booking Problems,current website select departure cityâ selecting destination city
0,virginamerica,Damaged Luggage,luggage severely dented missing wheel coming baggage claim luggage agent miranda wasn help
4,virginamerica,,easy itinerary shift impending weather quick painless free
4,virginamerica,,good times entire flightðÿ
4,virginamerica,,great adding luxuries aesthetics improve travel experience
0,virginamerica,Bad Flight,requested window seat confirmed window stuck middle seat good treat silver memberðÿ
0,virginamerica,Bad Flight,paid direct flight purpose fuel exhausted frequent flier inconvenience
0,virginamerica,Customer Service Issue,wrong website safari iphone
4,virginamerica,,gate checking baggage full flight dfwlax early boarding
0,virginamerica,Can't Tell,checked expired
0,virginamerica,Customer Service Issue,refunding seat upgrade place
4,virginamerica,,
4,virginamerica,,inflight team experience
4,virginamerica,,cutest salt pepper shaker guys better
0,virginamerica,Bad Flight,moved seat notice better seat cabin select selectedðÿ
4,virginamerica,,airline
4,virginamerica,,female pilot sweet
0,virginamerica,Lost Luggage,contacted central baggage charging dress lost suitcase
4,virginamerica,,
0,virginamerica,Customer Service Issue,going website errors minutes
0,virginamerica,Can't Tell,checked flight told atlantic flying club gold benefits
0,virginamerica,Flight Attendant Complaints,husband ordered three drinks screen awesome
0,virginamerica,Bad Flight,soooo guys going leave seatbelt light flight barely call turbulence
0,virginamerica,Flight Booking Problems,funny story website broken missing javascript stylesheets checkin process dislike
4,virginamerica,,love virgin
0,virginamerica,Customer Service Issue,check 50am flight desktop website working sort caching
0,virginamerica,Customer Service Issue,guys checkin links emails broken
4,virginamerica,,loved wait monday return flight watch inflight safety video
0,virginamerica,Lost Luggage,lost luggage days flight calling response stuff
0,virginamerica,Flight Booking Problems,flight booking problems website broken chrome wanna
4,virginamerica,,wanted routes planned year newark love flying guys hope
4,virginamerica,,inappropriate board
4,virginamerica,,happy spend
4,virginamerica,,understanding helped
4,virginamerica,,absolutely will
0,virginamerica,Can't Tell,broken link assets
0,virginamerica,Flight Booking Problems,manage itinerary website broken
0,virginamerica,Customer Service Issue,check site time loads
0,virginamerica,Customer Service Issue,carriers half price round trip fare stunned
0,virginamerica,Flight Booking Problems,happening late flight march
4,virginamerica,,free drinks flight free promo
4,virginamerica,,
0,virginamerica,Lost Luggage,luggage filed paperwork promised call email resolution response central luggage
4,virginamerica,,
4,virginamerica,,care flight
4,virginamerica,,lovely soft views
0,virginamerica,Flight Booking Problems,requested mileage challenge status weeks online haven heard help
0,virginamerica,Flight Booking Problems,book tickets facing super broken styling worry
0,virginamerica,Customer Service Issue,applied status match confirmation email news guys dropped ball late flightly
4,virginamerica,,adore forward flight austin weeks
4,virginamerica,,glad mentioned virgin flight years transformative experience
0,virginamerica,Customer Service Issue,checkin site
0,virginamerica,Late Flight,spending birthday night daldca
0,virginamerica,Customer Service Issue,couple messages email provided avail will year cheers
4,virginamerica,,time flying virgin smooth ride easily airline
0,virginamerica,Can't Tell,seriously will direct flights sfofll
0,virginamerica,Flight Booking Problems,fine purchase
0,virginamerica,Bad Flight,experience hoping forced check small carry empty cabin space board
0,virginamerica,longlines,wjere luggage slow
0,virginamerica,Customer Service Issue,spoke representative offered solution loyal customer flies well
0,virginamerica,Flight Booking Problems,deeply disappointed birthday promo applied trip booked mere days received email
0,virginamerica,Flight Booking Problems,happened direct flights sfofll connecting
4,virginamerica,,promoting product problem southwest recommend noneother best
4,virginamerica,,love guys direct routes
4,virginamerica,,course work obsessed entire virgin family
4,virginamerica,,time flying tonight
0,virginamerica,Can't Tell,embossed badges patches superior currently
0,virginamerica,Bad Flight,vx399 dirty plane standards
0,virginamerica,Bad Flight,flight vx399 headed dirtiest plane great airline
4,virginamerica,,squared picked tweeted tweeted sooner
0,virginamerica,Customer Service Issue,avis rental continue button doesn work website book times phone sucks
0,virginamerica,Late Flight,delayed to10
0,virginamerica,Customer Service Issue,currently minute hold cust service child reservation
4,virginamerica,,course celebrating happy chinese year
4,virginamerica,,flight booking problems second flight week chance gift promo code love guys
0,virginamerica,Can't Tell,comenity bank joke change constant problems bank
4,virginamerica,,grandma ella 80th bday greeting flight crew stewardess eastern airlines
4,virginamerica,,bought dallas route adding love airline website best transactional site
4,virginamerica,,credit late flight flight yesterday great service moment unexpected gesture
0,virginamerica,Customer Service Issue,submitted status match request havenâ heard flying monday accelerate
4,virginamerica,,safety video loved cross country flight
4,virginamerica,,doesn yummy
4,virginamerica,,omgðÿ nonstop dallas austin virginâœ âœˆï
4,virginamerica,,planes pretty thought
0,virginamerica,Flight Booking Problems,pulling hair book flight site doesn work iphone ipad computer
4,virginamerica,,
0,virginamerica,Customer Service Issue,help support ticket days incident 150202000419
4,virginamerica,,good
0,virginamerica,Bad Flight,open laptop seat paid premium
0,virginamerica,Bad Flight,seat open laptop paid extra seat
4,virginamerica,,needing austin trips
4,virginamerica,,cool planes will
4,virginamerica,,great well deserved
0,virginamerica,Customer Service Issue,info email address contact password reset emails doesn exist emails bounce
0,virginamerica,Customer Service Issue,status match weeks news week hope will count requirement cust help
0,virginamerica,Customer Service Issue,website sucks donkey dicks thought best
0,virginamerica,Can't Tell,crap channels watch
4,virginamerica,,
4,virginamerica,,giants virgin america match heaven
4,virginamerica,,goodness friday boom
0,virginamerica,Can't Tell,iphone making waste paper
0,virginamerica,Customer Service Issue,seat entertainment system accept credit cards apostrophe surname
0,virginamerica,longlines,will slots today adding
4,virginamerica,,people product thing charge herbal black caffeine drinker
4,virginamerica,,excited expansion destinations spread wings
0,virginamerica,Flight Booking Problems,learn longer hope returns
4,virginamerica,,incredible customer service experienced refreshing
4,virginamerica,,dreaming open route dallas austin houston
4,virginamerica,,finally
0,virginamerica,Bad Flight,kinda sucked earphone jack didn work flight future passengers
0,virginamerica,Bad Flight,poor experience computer problem seat malfunction stuck missing meeting diego
4,virginamerica,,dalaus route
4,virginamerica,,awesome deals dalaus
4,virginamerica,,love backyard consumers competes
4,virginamerica,,flying love austin excellent news
4,virginamerica,,congrats route âœˆï
0,virginamerica,Cancelled Flight,offered charge additional ticket stranded thurs time time
0,virginamerica,Can't Tell,experience cake extortion carry items well
0,virginamerica,Damaged Luggage,spend hours worrying items carryon broken stolen couldn carry plane lock
0,virginamerica,Flight Attendant Complaints,group told room bins plane room bags
0,virginamerica,Bad Flight,making flight nightmare forcing check carry gate
0,virginamerica,Customer Service Issue,lots flights book site working phone waiting minutes
4,virginamerica,,flight artisanal cheese wine pairing
4,virginamerica,,classy
4,virginamerica,,jfklhr flights faster 513mph strong tailwind
4,virginamerica,,tminus minutes elevate silver upgrade window opens
0,virginamerica,Late Flight,years dallas shit
4,virginamerica,,rough trip luckily flight
4,virginamerica,,perfect flight planes visors stay carriers raise
4,virginamerica,,nice steel faster wifi
4,virginamerica,,love dancing richard cool beans
4,virginamerica,,donâ passbook love email future
4,virginamerica,,free birthday points
0,virginamerica,Customer Service Issue,steel flies cities frequency
4,virginamerica,,sharing site
4,virginamerica,,segway best infographic
4,virginamerica,,plans short haul airline europe defiantly guys
4,virginamerica,,wifi better seating
0,virginamerica,Customer Service Issue,started flight scolding overhead offered person seated
4,virginamerica,,great return calls couldn
0,virginamerica,Cancelled Flight,airlines weren cancelled flighting flights helping customers virgin good luck
0,virginamerica,Customer Service Issue,grouping virgin weather exposed actual serv model flight booking problems virgin
0,virginamerica,Customer Service Issue,travelers boston storm shocked virgin complete apathy customers
0,virginamerica,Customer Service Issue,reason contact contact definitive answer
0,virginamerica,Flight Booking Problems,change advance hours prior online earlier wanted change fees
4,virginamerica,,loyal driving virgin flights
4,virginamerica,,guys perfect
4,virginamerica,,best customer service left industry
4,virginamerica,,fares amazings
0,virginamerica,Bad Flight,mood lighting pointðÿ reclining seat kickin feetðÿ
0,virginamerica,Late Flight,flight 6000 scheduled departure time plane gate update long delay
0,virginamerica,Customer Service Issue,group cancelled flightlation fees waived ticket booked reps help
4,virginamerica,,newark folks incredible
4,virginamerica,,flying awesome movie lineup long haul
4,united,,
4,united,,care happy customer
0,united,Cancelled Flight,refund word resolve issue cancelled flightled flight useless assistant trip
0,united,Late Flight,delayed lack crew delayed long deicing improve service
4,united,,filled luck common
0,united,Can't Tell,eriord express connections hugely popular eriewr
0,united,Can't Tell,boarded flight au1066 early
0,united,Bad Flight,gate agent hooked alternate flights prevent constant issues rock
4,united,,
4,united,,ticket
0,united,Flight Booking Problems,worst nonrefundable class tickets select global system auto selects economy upgrade
0,united,Customer Service Issue,days flight transfer flawed security logic flawed customer service
0,united,Customer Service Issue,start claim weeks unrealistic supposed long seat child ridiculous
4,united,,follow airline beautifull
0,united,Lost Luggage,seat lost reimburse pair shoes necessity child
0,united,Can't Tell,totally sucks cousin worked
4,united,,wanted wonderful rosetta gate agent working flight 6457 wasappreciated
0,united,Customer Service Issue,called united send voucher mail
0,united,Customer Service Issue,internet great thing emailing executives company will respond timely manner
0,united,Can't Tell,weak
0,united,Can't Tell,flew company united didnt earlier flight
0,united,Customer Service Issue,book awards september flights will award seats availab
0,united,Customer Service Issue,drive total hours explain debacle talk
0,united,Late Flight,told repeatedly pilot late flight late flightr boarded defibrillator issue
0,united,longlines,preferred security precheck didn pull partner flight
0,united,Can't Tell,airport indicate gate terminals
0,united,Customer Service Issue,newly married update preexisting international flight easy
0,united,Customer Service Issue,united refuse reissue lost voucher plane didn mechanics
0,united,Can't Tell,instructed shattered computer
0,united,Flight Attendant Complaints,agents minutes agents rude thankfully ladan nice
0,united,Flight Attendant Complaints,charlotte baggage claim latrice existent ignored customer inappropriately touched customer
4,united,,help issue guess awhile longer
0,united,Customer Service Issue,loved respond website long form business seats
0,united,Cancelled Flight,refund flight vouchers flight airline expense today hour drive inconvenient
0,united,Lost Luggage,received call days infant seat supposed child
0,united,Late Flight,well sitting ground time waiting gate
4,united,,airport snow removal method good work folks cessna
0,united,Flight Booking Problems,guys book planes concern travel moving forward
0,united,Late Flight,measly ecertificate appreciate loyal customers wait 3hrs tarmac ua1116
0,united,Can't Tell,will email address username signon
4,united,,claim interim expenses cost stuff
0,united,Can't Tell,rude rude
0,united,Flight Booking Problems,boarding pass austrian airlines codeshare flight rebook incls hour layover stuck
0,united,Damaged Luggage,received flights breaks guitars
0,united,Lost Luggage,flew paid third suitcase didn plane impolite service
0,united,Lost Luggage,colo springs disabled search unfamiliar airport good outcome
0,united,Customer Service Issue,shame flex tickets transfer rules calling neurosurgery
0,united,Customer Service Issue,denver handle baggage colo springs number call help
0,united,Customer Service Issue,guys serious training customer service better options guys handle mistakes
0,united,Customer Service Issue,problem avoided plague told find supervisor
0,united,Cancelled Flight,zcc82u cancelled flight flight advance connect flight reschedule link helping help waited months
0,united,Can't Tell,will flying
0,united,Late Flight,addition flight delayed hour arriving destination late flight
4,united,,flew united month experience awesome
0,united,Flight Booking Problems,travel booked united group dept ticket agent help connection
0,united,Flight Attendant Complaints,upset disability services told employees carrying medical equipment rude
0,united,Customer Service Issue,thnx quick reply assist intl will considerable inconvenience today
0,united,Can't Tell,transfer flight ticket accompany active military emergency brain surgery
0,united,Flight Booking Problems,weeks late flightr received miles mileageplus gift card starbucks card handed
0,united,Customer Service Issue,hoping improvement
0,united,Damaged Luggage,complained checked luggage throwing bags unfortunate coincidence hope
0,united,Customer Service Issue,ticket agent roger mclarren helpful intl group travel problems find supervisor help
0,united,Can't Tell,mobile apps construction ground category expensive
0,united,Flight Booking Problems,fail united ticket agents helpful care problems american
4,united,,working coach good thing bird landed ahead schedule stat
0,united,Customer Service Issue,email customer care telling break sincerely hope help
0,united,Flight Attendant Complaints,silly flying delta today united club staff attendants surly unhelpful bothered pesky folk
0,united,Flight Booking Problems,phone number find call flight reservation
0,united,Can't Tell,well missing buddies 30th bday negligence attempt
0,united,Customer Service Issue,will help customer service couldn number
0,united,Lost Luggage,helped baggage service desk screening bags will
0,united,Customer Service Issue,mobile boarding pass disappeared phone standing board second time week
4,united,,record rozana newark lovely helpful
4,united,,update
0,united,Flight Attendant Complaints,explain eager flight attendant vision guide
0,united,Flight Attendant Complaints,point details book flight crew doesn read continued
0,united,Late Flight,bogota rude houston stuck hours guys
0,united,Bad Flight,mechanical problems land delayed
4,united,,despite making newark good informative email tracking updates help
0,united,Late Flight,going outbound flight thurs delayed 4hrs long will delay
0,united,Late Flight,ua1429 mechanical problems switched aircraft delayed hours
0,united,Customer Service Issue,crashed check
4,united,,deal seats easy change customer happy
0,united,longlines,logan boarding gong carry enforcement bins full coats room bags better system
0,united,Customer Service Issue,blackmailed paying extra return ticket nullified francisco airport terrible service
0,united,Customer Service Issue,disappointed didnt honor credit mistakes business âœœï
0,united,Late Flight,ua1673 waiting supposed depart
0,united,Customer Service Issue,credit trip mail
0,united,Customer Service Issue,months waiting hear airline days requested terrible service
0,united,Customer Service Issue,process waiting reply months
0,united,Flight Booking Problems,going website flight booking problems three tickets today booted system umpteen times
0,united,Customer Service Issue,account number website email unavailable
0,united,Lost Luggage,received night missing
0,united,Bad Flight,upgrade seats economy sitting concrete bench
0,united,Late Flight,flight delayed pilots boarded
0,united,Bad Flight,hard stay upset remorse
0,united,Customer Service Issue,simple apology long hollow obvious care wellbeing
0,united,Customer Service Issue,time thing shocking pattern repeated neglect disrespect
0,united,Can't Tell,fingers crossed intact disappointed experience enjoyed
0,united,Customer Service Issue,incredibly easy stay comfort zone forced mine
0,united,Flight Attendant Complaints,july excuses outofdate system problems
0,united,Can't Tell,sitting friends family members booked tickets october december bought
0,united,Customer Service Issue,talking going nonstop flights
0,united,Customer Service Issue,will moving talk service
0,united,Customer Service Issue,asked legitimate question systemwide localized problems unrelate flightd copy paste better
0,united,Lost Luggage,time call skis will airport faith united
0,united,Can't Tell,guys amazing company continually mistakes fails held accountable error
0,united,Late Flight,yeah problem united international reputation problems
0,united,Can't Tell,care hear listens issues caused
0,united,Can't Tell,wonder sharing insta produce number characters limits story telling
0,united,Flight Attendant Complaints,telling number call left airport negligent pilot staff
0,united,Customer Service Issue,email resent doesnt appear arrived
0,united,Customer Service Issue,follow order
0,united,Bad Flight,united coupon broken entertainment system 9hour flight seriously
0,united,Lost Luggage,didn drop overnight leaving week supposed hold
0,united,Customer Service Issue,details response book today
0,united,Customer Service Issue,confirmation number
0,united,Late Flight,message twitterliterate going stuck 18hrs
0,united,Customer Service Issue,unhappy response complaint emailed 8441639 awful customer service
4,united,,private cool work
0,united,Flight Booking Problems,option united travelbank flight booking problems help recouping funds
0,united,Late Flight,common paper work ready delay flights meetings
0,united,Late Flight,correct email flight cancelled flightled doesn matter flight delayed
0,united,Late Flight,problem making connection
4,united,,
0,united,Cancelled Flight,grounded montreal ua3659 missing connection ua3417 louis help private
0,united,Can't Tell,frustrated nervous
0,united,Flight Attendant Complaints,difficult
0,united,Bad Flight,child issue flying prepares ahead time reduce distress caused planes
0,united,Cancelled Flight,cancelled flightled hours
0,united,Can't Tell,guys traveling incredibly stressful uncomfortable good business
0,united,Bad Flight,severe anxiety person help
0,united,Can't Tell,seeking client cant refund filled form confident works indication
4,united,,unrivalled access flights airports nonstop onestop connections yearround
0,united,Customer Service Issue,luckily flights time disappointed lack communication
0,united,Cancelled Flight,checking flight 3466 atlord cancelled flighted
0,united,Customer Service Issue,service horrid wanted trip high note guess option
0,united,Bad Flight,booked flight months requested seats fiancã middle seats unacceptable
0,united,Can't Tell,guys horrible
4,united,,thnx info
0,united,Customer Service Issue,wifi international business ticket
0,united,Lost Luggage,things lost luggage worse
4,united,,kudos cancelled flightling flights morning united panic
0,united,Damaged Luggage,luggage broken
0,united,Can't Tell,quoted
0,united,Late Flight,flight delayedno remembered turn heat flight leaving ordseriously
4,united,,awesome plane flight 1584 extremely nice captain steve connolly
0,united,Customer Service Issue,speak real person resolved politely efficiently
0,united,Customer Service Issue,hadn filed refund claim told charge disputed bank
0,united,Lost Luggage,bags flight second clothes pretty inconvenient pretty curious
4,united,,united flight saipan guam adventure plane will operational
0,united,Customer Service Issue,customer service phone number speak real person sorted
0,united,Lost Luggage,bags leave washington convenient left
0,united,Customer Service Issue,owed refund provided contact number bank file claim
0,united,Lost Luggage,hours work hotel time will
0,united,Customer Service Issue,properly train agents requested speak customer service transferred dead open
0,united,Lost Luggage,remembering load connecting flight wait forgot iceland clothes
4,united,,cheese platter abundance entertainment options time flew
0,united,Customer Service Issue,customer service atrocious disrupted travel plans lost luggage impossible talk human
0,united,Customer Service Issue,terminal food open flights hours early recommended
0,united,Late Flight,flight 1001 currently stuck portland missed ride hour delay
0,united,Customer Service Issue,responded requests contact numbers customer service number
0,united,Lost Luggage,bags lusaka
0,united,Lost Luggage,update suitcase online phone tracking told told yesterday
4,united,,days
0,united,Can't Tell,thing guys shouldn charging drinks transatlantic flight
0,united,Can't Tell,arrival lounge waited mins shower left find hotel passengers carry planning
0,united,Cancelled Flight,completed form doubt doesn care vacation will feel responsibility
4,united,,definitely compliment thought lost airport happy customer
4,united,,emailed 1000 ticket voucher care
4,united,,will definitely trip remember ewrsti second season seat pays loyal
0,united,Flight Attendant Complaints,nope told time sleep airport assured room
0,united,Lost Luggage,expensive holiday worked year ruined compensation original case
0,united,Lost Luggage,united understand money
0,united,Customer Service Issue,frankly worse customer service problems will happen deal defines company united
0,united,Late Flight,valid flight strange delay late flight inbound crew hours plane
0,united,Customer Service Issue,lack help canned response desk
0,united,Bad Flight,unforeseeable operational issue return flight
0,united,Lost Luggage,luggage delivered arrive wait additional days delivery
0,united,Cancelled Flight,hotels people feel held hostage boarding passes leave
4,united,,great airline
0,united,Customer Service Issue,outbound bags bags returning logic writing machine human help required
0,united,Customer Service Issue,hear poor experience share details customer care team
0,united,Late Flight,cancelled flightn left fend late flight runaround employee blaming previous
0,united,Lost Luggage,ase24766m find luggage
0,united,Customer Service Issue,agent gate issues delays ua1116 online
0,united,Lost Luggage,lady phone aviv aviv united newark
4,united,,running plane running help
0,united,Lost Luggage,answers luggage days unacceptable
0,united,Customer Service Issue,going
0,united,Can't Tell,food taxis
0,united,Can't Tell,offering rooms people
0,united,Flight Attendant Complaints,people pretty tired action solving problem missing vacation skiing
0,united,Customer Service Issue,bright side keeping promise hope good night
0,united,Customer Service Issue,comment team working hard help solution hotel food
0,united,Late Flight,4124 arriving hours late flight sitting tarmac move plane gate unhappy customer
0,united,Can't Tell,airlines absolute worst idea
0,united,Customer Service Issue,customer care team currently responding inquiries business days
4,united,,flew united austin bergstrom cancun intl best flight small
